Paper,ConferenceEdition
284,9046524482011
422,9046524261988
861,9046524392003
1440,9046524452008
1543,904652522016
1547,904652522016
1563,9046526292008
1582,9046526342013
1605,9046526352014
1626,9046526422016
1651,9046526302009
1674,9046526392015
1711,9046526322011
1786,9046526502017
1789,9046526532018
1874,9046526512018
1898,9046526462017
1922,9046528642013
1936,9046528592008
1980,9046528492002
1991,9046528572006
2022,904652892-932017
2105,9046528622011
2107,90465281042019
2311,9046528752016
2328,9046528582007
2333,9046528532004
2542,9046528602009
2622,9046528762016
2637,9046530542016
2638,9046530202004
2807,9046530282012
2844,9046530292013
2859,9046530141998
2917,9046530652016
3000,9046530372014
3095,9046530672017
3166,9046530262010
3272,9046530222006
3380,9046530632016
3567,9046530312014
3913,9046530942019
3925,9046530151999
3940,9046530932019
3965,9046530512015
3974,9046530862018
3985,9046530922019
4067,9046530522015
4118,9046530242008
4151,9046530882018
4159,9046530322014
4195,9046530812018
4204,9046530362014
4212,9046530272011
4238,9046530502015
4261,9046530782018
4285,9046530192003
4413,9046530792018
4424,9046530212005
4482,9046530892018
4529,9046530912019
4547,9046530802018
4582,9046530762017
4596,9046530622016
4665,9046530722017
4676,9046530562016
4679,9046530772017
4689,9046530392014
4730,904653043-442015
4794,9046530742017
4838,9046530182002
4879,9046530382014
4899,9046530822018
4942,9046530852018
4962,9046530732017
4998,9046530552016
5089,9046530702017
5125,9046530682017
5145,9046530121997
5157,9046530172001
5174,904653061990
5177,9046530252009
5188,9046530872018
5202,9046530492015
5218,9046531342017
5236,9046531312014
5317,9046535692015
5329,9046535722016
5388,9046535652014
5392,9046535742017
5415,9046535782018
5417,9046535642014
5425,9046536282016
5444,904653611989
5454,904653671995
5502,904653681996
5506,904653651993
5522,9046536152003
5530,9046536101998
5543,9046536122000
5549,904653661994
5567,904653691997
5574,9046536162004
5586,904653641992
5592,9046536232011
5649,9046536132001
5677,9046536252013
5722,9046536262014
5738,904653631991
5754,904653621990
5771,9046536212009
5805,9046536292017
5806,9046536272015
5811,9046536182006
5847,9046536142002
6001,9046536222010
6101,9046536172005
6117,9046536202008
6165,9046536302018
6174,9046536242012
6180,9046536312019
6240,9046536192007
6249,9046536111999
6313,90465391632019
6351,90465391612018
6365,9046539582014
6388,9046539992016
6420,90465391442018
6434,9046539752015
6444,90465391012016
6454,90465391652019
6495,90465391152017
6517,90465391222017
6533,90465391642019
6543,90465391172017
6559,9046539252012
6561,90465391342017
6563,90465391192017
6626,9046539432013
6701,9046539382013
6702,90465391162017
6829,90465391472018
6836,9046539212008
6915,9046539542013
7030,9046539372013
7031,90465391142016
7054,9046539892015
7057,9046539262012
7085,9046539732015
7127,9046539902015
7159,9046539862015
7342,90465391032016
7346,90465391662019
7359,9046539632014
7389,9046539812015
7448,90465391392018
7475,90465391122016
7545,9046539712014
7627,9046539172004
7691,9046539942016
7713,9046539482013
7726,90465391502018
7744,90465391062016
7916,9046539502013
7985,90465391002016
7990,90465391242017
8010,90465391092016
8023,9046539802015
8059,9046539101998
8092,90465391402018
8098,90465391482018
8101,9046539642014
8123,90465391532018
8165,9046539652014
8171,90465391112016
8176,90465391432018
8219,90465391582018
8761,9046539792015
8958,9046539592014
9832,90465391212017
10452,9046539692014
10550,90465391292017
10561,9046539762015
10692,90465391332017
10863,9046539822015
10882,9046539882015
10884,9046539442013
10891,9046539702014
10892,9046539522013
10893,90465391072016
10901,90465391592018
10903,9046539242011
10909,90465391262017
10911,9046539422013
10913,90465391252017
10914,9046539962016
10917,9046539302012
10919,90465391562018
10925,9046539232010
10926,9046539982016
10932,90465391572018
10935,9046539852015
10943,9046539872015
10946,90465391452018
10948,9046539272012
10949,90465391352017
10953,9046539222009
10957,90465391462018
10960,9046539192006
10963,90465391182017
10967,90465391202017
10979,9046539202007
10982,904654072011
10984,904654082012
10987,9046540112015
10989,9046541192009
10998,9046543332017
10999,9046543352018
11001,9046543282015
11004,9046543322017
11010,9046543342018
11016,9046543312016
11019,9046543142003
11025,9046543272014
11028,904654361998
11029,9046543302016
11038,9046543262014
11045,9046543122002
11052,904654311993
11055,9046543182007
11058,9046543192008
11060,904654321994
11066,9046543362019
11069,9046543202009
11078,9046543292015
11082,9046543232012
11089,9046543112001
11096,9046543252013
11098,9046545512007
11100,9046545532009
11105,9046545542010
11109,9046545552011
11110,9046545562012
11125,9046545572013
11133,90465451042016
11136,9046545742014
11144,9046545532008
11159,9046545522008
11187,9046545692014
11198,9046545932016
11201,90465451262018
11202,90465451092017
11212,9046545782014
11217,9046545842015
11219,90465451192018
11222,9046547162018
11227,904654662008
11230,904654632005
11240,904654622004
11243,904654920072007
11247,904654920142014
11249,904655012012
11254,904655042015
11256,904655252007
11257,904655292011
11272,9046552152017
11276,9046552142016
11277,904655222004
11278,904655282010
11285,9046552162018
11286,904655262008
11294,9046552122014
11298,9046552112013
11299,904655272009
11324,9046552102012
11325,9046554182009
11327,9046554232014
11329,9046554222013
11334,9046554272018
11336,904655492000
11339,9046554202011
11343,9046554122003
11345,9046554102001
11346,9046554212012
11350,9046554172008
11361,9046554132004
11364,9046555132016
11366,9046555142017
11369,9046555102013
11374,9046556262018
11376,9046556212013
11378,9046556222014
11381,904655732013
11385,904655842017
11387,904655822015
11391,9046560102017
11397,904656012008
11401,904656022009
11405,904656032010
11406,904656042011
11411,904656082015
11414,9046560112018
11416,904656142014
11418,904656272019
11421,904656262018
11423,904656232015
11424,904656252017
11431,904656242016
11436,904656212013
11445,904656222014
11446,904656462016
11459,904656472017
11470,9046565162007
11472,9046565202011
11474,9046565152006
11476,9046566452009
11482,9046566331997
11483,9046566351999
11486,9046566762017
11496,9046566191983
11499,9046566962018
11511,9046566412005
11516,9046566602015
11517,9046566472011
11518,9046566492013
11519,9046566882018
11521,9046566972018
11522,9046566462010
11529,9046566422006
11530,9046566622015
11532,9046566912018
11533,9046566812017
11537,9046566982018
11538,9046566572015
11541,9046566542015
11544,9046566782017
11553,9046566301994
11560,9046566992019
11561,9046566382002
11565,9046566842017
11568,90465661002019
11574,9046566932018
11580,9046566502014
11583,9046566872018
11591,9046566582015
11598,9046566442008
11600,9046566362000
11602,9046566632016
11603,9046566281992
11608,9046566432007
11618,9046566372001
11620,9046566792017
11622,9046566902018
11625,9046566271991
11626,9046566321996
11628,9046566482012
11635,9046566952018
11636,9046566261990
11640,9046566221986
11643,9046566852017
11645,904656732012
11656,904656952012
11659,904656932011
11661,9046572472017
11663,9046572452015
11666,9046572442014
11671,9046573102015
11677,904657322007
11678,904657362011
11683,9046573122017
11686,904657312006
11691,9046573132018
11696,904657372012
11701,904657332008
11703,904657342009
11706,9046573142019
11707,904657352010
11713,9046573112016
11718,904657392014
11723,904657382013
11724,904657632009
11736,9046578182017
11742,9046578192018
11744,9046577132012
11745,9046578162015
11747,9046577142013
11750,9046578172016
11753,9046577112010
