JournalVolume,Journal
904745242013,9047452
9047452102019,9047452
904745262015,9047452
904745212010,9047452
904745292018,9047452
904745222011,9047452
904745272016,9047452
904745252014,9047452
9047453662017,9047453
9047453772018,9047453
9047453302006,9047453
9047453602016,9047453
9047453352011,9047453
9047453732018,9047453
9047453532014,9047453
9047453512014,9047453
9047453342010,9047453
9047453762018,9047453
9047453312007,9047453
9047453282004,9047453
9047453612016,9047453
9047453472013,9047453
9047453672017,9047453
9047453272003,9047453
9047453432013,9047453
9047453322008,9047453
904745762017,9047457
904745752016,9047457
904745712012,9047457
904745742015,9047457
9047459542012,9047459
9047459562014,9047459
9047459602018,9047459
9047459432001,9047459
9047459582016,9047459
9047459492007,9047459
904746232011,9047462
904746272015,9047462
904746320182018,9047463
904746320172017,9047463
904746320162016,9047463
9047465412013,9047465
9047465402012,9047465
9047465422014,9047465
9047465452017,9047465
904746832008,9047468
904746882013,9047468
904746852010,9047468
904746872012,9047468
904746862011,9047468
904746892014,9047468
9047468102015,9047468
9047468132018,9047468
904746842009,9047468
9047468112016,9047468
9047469392019,9047469
9047469382018,9047469
9047469342014,9047469
9047469272007,9047469
9047469352015,9047469
9047469262006,9047469
9047469372017,9047469
904747082017,9047470
904747072016,9047470
904747062014,9047470
904747182006,9047471
9047471172015,9047471
904747132001,9047471
9047471162014,9047471
9047471192017,9047471
9047471202018,9047471
904747172005,9047471
9047471152013,9047471
9047471142012,9047471
904747212016,9047472
904747222017,9047472
904747232018,9047472
904747322015,9047473
9047475112014,9047475
9047475222016,9047475
904747552008,9047475
904747532006,9047475
9047475182015,9047475
904747582011,9047475
9047475122014,9047475
904747572010,9047475
9047475232017,9047475
9047475312019,9047475
904747692018,9047476
904747652014,9047476
904747652013,9047476
904747662015,9047476
9047476102019,9047476
904747682017,9047476
904747622011,9047476
904747672016,9047476
904747672015,9047476
904747632012,9047476
904747692017,9047476
9047479262014,9047479
9047480172005,9047480
9047480192007,9047480
9047479252013,9047479
9047479242012,9047479
9047479302018,9047479
904748071995,9047480
904748091997,9047480
9047480132001,9047480
9047480222010,9047480
9047482102017,9047482
904748252008,9047482
904748232005,9047482
904748262009,9047482
9047482132019,9047482
904748242006,9047482
904748262010,9047482
904748282015,9047482
904748272014,9047482
904748252007,9047482
904748292016,9047482
904748212004,9047482
9047482112018,9047482
904748352012,9047483
904748392016,9047483
904748320182018,9047483
904748372014,9047483
904748342011,9047483
904748382015,9047483
904748362013,9047483
904748312008,9047483
904748322009,9047483
904748332010,9047483
904748320172017,9047483
9047484322006,9047484
9047484332007,9047484
9047484352009,9047484
9047484392013,9047484
9047485212011,9047485
9047485232013,9047485
9047485252015,9047485
9047486342016,9047486
9047486522019,9047486
9047486282016,9047486
9047486152011,9047486
9047486142010,9047486
9047486412017,9047486
9047486502018,9047486
9047486372017,9047486
9047486432018,9047486
904748672003,9047486
9047486322016,9047486
9047486182014,9047486
9047486232015,9047486
9047486472018,9047486
9047486122008,9047486
9047486362017,9047486
9047486162012,9047486
9047486172013,9047486
9047486102006,9047486
9047486262015,9047486
9047486442018,9047486
9047486242015,9047486
9047486382017,9047486
9047486512019,9047486
9047486452018,9047486
9047486422017,9047486
9047486352017,9047486
9047486132009,9047486
9047486332016,9047486
9047486202015,9047486
9047486492018,9047486
9047486462018,9047486
904748682004,9047486
9047486252015,9047486
9047487152007,9047487
9047487132005,9047487
9047488372013,9047488
9047488292005,9047488
9047488412017,9047488
9047488302006,9047488
9047489612012,9047489
9047489672018,9047489
9047489522003,9047489
9047489542005,9047489
9047489662017,9047489
9047489652016,9047489
9047489572008,9047489
9047489642015,9047489
9047489602011,9047489
9047489592010,9047489
9047489622013,9047489
9047489582009,9047489
904749272016,9047492
904749292018,9047492
904749362018,9047493
904749322014,9047493
904749332015,9047493
904749312013,9047493
904749352017,9047493
904749342016,9047493
904749422004,9047494
9047494122014,9047494
9047494102012,9047494
9047494142016,9047494
904749552001,9047495
9047495212017,9047495
9047495192015,9047495
9047495172013,9047495
9047495202016,9047495
9047495152011,9047495
9047497242006,9047497
9047497252007,9047497
904749751987,9047497
9047497322014,9047497
9047497262008,9047497
9047497332015,9047497
9047497302012,9047497
9047497342016,9047497
9047497222004,9047497
9047497192001,9047497
9047497141996,9047497
9047497312013,9047497
9047497292011,9047497
9047497352017,9047497
9047497161998,9047497
9047497101992,9047497
9047497171999,9047497
9047497232005,9047497
9047497282010,9047497
9047497362018,9047497
9047497111993,9047497
9047497212003,9047497
9047497372019,9047497
9047497272009,9047497
904749761988,9047497
9047497151997,9047497
9047497121994,9047497
904749731985,9047497
9047497202002,9047497
904749771989,9047497
9047497182000,9047497
904749781990,9047497
9047497131995,9047497
904749872014,9047498
904749892017,9047498
904749882016,9047498
9047498102018,9047498
9047499142018,9047499
904750052014,9047500
904750012009,9047500
9047502372008,9047502
9047504282017,9047504
